code,current,name,gender,function,country_code,country_long,nationality,nationality_code,disciplines,events,birth_date
1927403,TRUE,SUN Yuewen,Female,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Women's Kayak Four 500m""]",25-06-1994
1927410,TRUE,CHEN Yule,Female,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Women's Kayak Double 500m""]",17-12-2007
1927414,TRUE,YU Shimeng,Female,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Women's Kayak Double 500m""]",15-10-1999
1927416,TRUE,ZHANG Dong,Male,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Men's Kayak Single 1000m"", ""Men's Kayak Double 500m"", ""Men's Kayak Four 500m""]",18-11-1996
1927417,TRUE,WANG Congkang,Male,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Men's Kayak Four 500m""]",31-10-1996
1927418,TRUE,BU Tingkai,Male,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Men's Kayak Double 500m"", ""Men's Kayak Four 500m""]",19-12-1995
1927419,TRUE,DONG Yi,Male,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Men's Kayak Four 500m""]",28-07-2002
1927514,TRUE,WANG Zilu,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rhythmic Gymnastics'],['Individual All-Around'],18-06-2003
1927515,TRUE,DING Xinyi,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rhythmic Gymnastics'],['Group All-Around'],27-08-2004
1927516,TRUE,GUO Qiqi,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rhythmic Gymnastics'],['Group All-Around'],07-08-1998
1927517,TRUE,HAO Ting,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rhythmic Gymnastics'],['Group All-Around'],23-03-2001
1927518,TRUE,HUANG Zhangjiayang,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rhythmic Gymnastics'],['Group All-Around'],15-02-2000
1927519,TRUE,WANG Lanjing,Female,Athlete,CHN,People's Republic of China,China,CHN,['Rhythmic Gymnastics'],['Group All-Around'],10-03-2005
1927552,TRUE,MUSSABAYEV Danil,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,KAZ,['Trampoline Gymnastics'],['Men'],13-09-1998
1927585,TRUE,ENKHSAIKHAN Delgermaa,Female,Athlete,MGL,Mongolia,Mongolia,MGL,['Wrestling'],"[""Women's Freestyle 68kg""]",01-06-1999
1927616,TRUE,GIM Boeun,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],08-12-1997
1927619,TRUE,HAN Miseul,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],13-08-1993
1927621,TRUE,JEON Jiyeon,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],02-05-2003
1927623,TRUE,JEONG Jinhui,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],24-03-1999
1927625,TRUE,JO Eunbeen,Female,Alternate Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],18-04-2001
1927629,TRUE,KANG Eunhye,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],17-04-1996
1927630,TRUE,KANG Eunseo,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],04-03-1999
1927632,TRUE,KANG Kyungmin,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],08-11-1996
1927633,TRUE,KIM Dayoung,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],16-09-1996
1927647,TRUE,LEE Minji,Female,Alternate Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],12-04-2000
1927652,TRUE,PARK Saeyoung,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],11-08-1994
1927654,TRUE,RYU Eun Hee,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],24-02-1990
1927657,TRUE,SHIN Eunjoo,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],09-09-1993
1927658,TRUE,SHIN Jinmi,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],23-06-1998
1927660,TRUE,SONG Haeri,Female,Alternate Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],02-10-1997
1927663,TRUE,SONG Jiyoung,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],05-05-1996
1927665,TRUE,WOO Bitna,Female,Athlete,KOR,Republic of Korea,Korea,KOR,['Handball'],['Women'],23-10-2001
1927672,TRUE,HASSON Nitai,Male,Athlete,ISR,Israel,Israel,ISR,['Sailing'],['Mixed Dinghy'],15-03-1998
1927673,TRUE,SUN Huadong,Male,Athlete,CHN,People's Republic of China,China,CHN,['Equestrian'],['Eventing Individual'],07-01-1991
1927675,TRUE,RECSEI Rita,Female,Athlete,HUN,Hungary,Hungary,HUN,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",30-01-1996
1927679,TRUE,HUA TIAN Alex,Male,Athlete,CHN,People's Republic of China,China,CHN,['Equestrian'],['Eventing Individual'],25-10-1989
1927680,TRUE,REUVENY Tom,Male,Athlete,ISR,Israel,Israel,ISR,['Sailing'],"[""Men's Windsurfing""]",12-06-2000
